product_slug,image_no,old_path,new_semantic_path,visual_intent
ms-hollow-sections,1,/products/gallery5/ms-hollow-sections/ms-hollow-sections-supplier-gcc-srk-steel.jpg,/products/gallery5/ms-hollow-sections/ms-hollow-section-steel-frame-application-srk-steel.jpg,ms hollow section steel frame application
ms-hollow-sections,2,/products/gallery5/ms-hollow-sections/ms-hollow-sections-product-view-srk-steel.jpg,/products/gallery5/ms-hollow-sections/ms-hollow-sections-fabrication-stock-srk-steel.jpg,ms hollow sections fabrication stock
ms-hollow-sections,3,/products/gallery5/ms-hollow-sections/ms-hollow-sections-close-up-srk-steel.jpg,/products/gallery5/ms-hollow-sections/ms-shs-rhs-section-close-up-srk-steel.jpg,ms shs rhs section close up
ms-hollow-sections,4,/products/gallery5/ms-hollow-sections/ms-hollow-sections-warehouse-stock-srk-steel.jpg,/products/gallery5/ms-hollow-sections/ms-hollow-sections-product-view-srk-steel.jpg,ms hollow sections product view
ms-hollow-sections,5,/products/gallery5/ms-hollow-sections/ms-hollow-sections-application-srk-steel.jpg,/products/gallery5/ms-hollow-sections/ms-hollow-sections-warehouse-stock-srk-steel.jpg,ms hollow sections warehouse stock
ms-beams,1,/products/gallery5/ms-beams/ms-beams-supplier-gcc-srk-steel.jpg,/products/gallery5/ms-beams/ms-beam-steel-erection-application-srk-steel.jpg,ms beam steel erection application
ms-beams,2,/products/gallery5/ms-beams/ms-beams-product-view-srk-steel.jpg,/products/gallery5/ms-beams/ms-i-beams-warehouse-stock-srk-steel.jpg,ms i beams warehouse stock
ms-beams,3,/products/gallery5/ms-beams/ms-beams-close-up-srk-steel.jpg,/products/gallery5/ms-beams/ms-i-beam-section-close-up-srk-steel.jpg,ms i beam section close up
ms-beams,4,/products/gallery5/ms-beams/ms-beams-warehouse-stock-srk-steel.jpg,/products/gallery5/ms-beams/ms-beams-product-view-srk-steel.jpg,ms beams product view
ms-beams,5,/products/gallery5/ms-beams/ms-beams-application-srk-steel.jpg,/products/gallery5/ms-beams/mild-steel-beam-building-frame-srk-steel.jpg,mild steel beam building frame
ms-channels,1,/products/gallery5/ms-channels/ms-channels-supplier-gcc-srk-steel.jpg,/products/gallery5/ms-channels/ms-channel-structural-fabrication-srk-steel.jpg,ms channel structural fabrication
ms-channels,2,/products/gallery5/ms-channels/ms-channels-product-view-srk-steel.jpg,/products/gallery5/ms-channels/ms-channel-section-close-up-srk-steel.jpg,ms channel section close up
ms-channels,3,/products/gallery5/ms-channels/ms-channels-close-up-srk-steel.jpg,/products/gallery5/ms-channels/ms-channels-stacked-stock-srk-steel.jpg,ms channels stacked stock
ms-channels,4,/products/gallery5/ms-channels/ms-channels-warehouse-stock-srk-steel.jpg,/products/gallery5/ms-channels/ms-channels-product-view-srk-steel.jpg,ms channels product view
ms-channels,5,/products/gallery5/ms-channels/ms-channels-application-srk-steel.jpg,/products/gallery5/ms-channels/mild-steel-channels-warehouse-stock-srk-steel.jpg,mild steel channels warehouse stock
ms-bars,1,/products/gallery5/ms-bars/ms-bars-supplier-gcc-srk-steel.jpg,/products/gallery5/ms-bars/ms-round-bars-fabrication-stock-srk-steel.jpg,ms round bars fabrication stock
ms-bars,2,/products/gallery5/ms-bars/ms-bars-product-view-srk-steel.jpg,/products/gallery5/ms-bars/mild-steel-round-bar-ends-close-up-srk-steel.jpg,mild steel round bar ends close up
ms-bars,3,/products/gallery5/ms-bars/ms-bars-close-up-srk-steel.jpg,/products/gallery5/ms-bars/ms-bars-warehouse-bundle-srk-steel.jpg,ms bars warehouse bundle
ms-bars,4,/products/gallery5/ms-bars/ms-bars-warehouse-stock-srk-steel.jpg,/products/gallery5/ms-bars/mild-steel-round-bars-bundled-stock-srk-steel.jpg,mild steel round bars bundled stock
ms-bars,5,/products/gallery5/ms-bars/ms-bars-application-srk-steel.jpg,/products/gallery5/ms-bars/ms-bars-bulk-warehouse-stock-srk-steel.jpg,ms bars bulk warehouse stock
ms-angles,1,/products/gallery5/ms-angles/ms-angles-supplier-gcc-srk-steel.jpg,/products/gallery5/ms-angles/ms-angle-structural-steel-application-srk-steel.jpg,ms angle structural steel application
ms-angles,2,/products/gallery5/ms-angles/ms-angles-product-view-srk-steel.jpg,/products/gallery5/ms-angles/ms-angles-warehouse-bundle-srk-steel.jpg,ms angles warehouse bundle
ms-angles,3,/products/gallery5/ms-angles/ms-angles-close-up-srk-steel.jpg,/products/gallery5/ms-angles/ms-angle-l-profile-close-up-srk-steel.jpg,ms angle l profile close up
ms-angles,4,/products/gallery5/ms-angles/ms-angles-warehouse-stock-srk-steel.jpg,/products/gallery5/ms-angles/ms-angles-product-view-srk-steel.jpg,ms angles product view
ms-angles,5,/products/gallery5/ms-angles/ms-angles-application-srk-steel.jpg,/products/gallery5/ms-angles/mild-steel-angle-edge-close-up-srk-steel.jpg,mild steel angle edge close up
hr-coils-ms,1,/products/gallery5/hr-coils-ms/hr-coils-ms-supplier-gcc-srk-steel.jpg,/products/gallery5/hr-coils-ms/hot-rolled-coil-surface-close-up-srk-steel.jpg,hot rolled coil surface close up
